Person ID,Organization ID,Person Name,Current Title,Target Title Match,LinkedIn Profile,Connection Degree,Identified Date,Invite Eligible,Invite Sent,Invite Date,Follows RFxchange,Follow Confirmed Date,Direct Outreach Status,Last Contact Date,Partnership Contact,Resource Contact,Opportunity Contact,RFxchange Registered,Registration Date,Last Verified,Notes
RFX-PER-000001,RFX-ORG-0005,"Emmanuel Ramirez, CPSM, CPSD","Director, Strategic Sourcing","Strategic Sourcing; Procurement; Supplier Diversity",https://www.linkedin.com/in/emmanuel-ramirez-cpsm-cpsd-aa14a41a7,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Smithfield Foods procurement/strategic sourcing leader; public LinkedIn and current-company evidence verified."
RFX-PER-000002,RFX-ORG-0014,Bryan K. Stephens,"President & CEO",President/CEO,https://www.linkedin.com/in/bryankstephens,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads Chamber President & CEO; public LinkedIn profile verified."
RFX-PER-000003,RFX-ORG-0014,Justin Saunders,"Vice President, Membership & Strategic Growth","Membership Director; Business Development",https://www.linkedin.com/in/justinaverysaunders,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Exact current title exposed on public LinkedIn profile."
RFX-PER-000004,RFX-ORG-0015,Jolie Spiers,Executive Director,Executive/Center Director,https://www.linkedin.com/in/jolie-spiers-30683422,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads SBDC leadership; public LinkedIn profile verified."
RFX-PER-000005,RFX-ORG-0015,Todd E. DuRose,Business Advisor,Business Advisor,https://www.linkedin.com/in/todd-durose,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads SBDC advisor; public LinkedIn profile verified."
RFX-PER-000006,RFX-ORG-0015,Chelsea Torres,"Business Advisor - Bookkeeping",Business Advisor,https://www.linkedin.com/in/chelseatorresitb,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads SBDC advisor; public LinkedIn profile verified."
RFX-PER-000007,RFX-ORG-0016,Lisa Wood,Statewide Director,Program Director,https://www.linkedin.com/in/lisa-wood-6060a335,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly identifies her as Statewide Director of Virginia APEX Accelerator."
RFX-PER-000008,RFX-ORG-0016,Dr. Sonny Hatcher,Procurement Counselor,"Procurement Counselor; Government Contracting Advisor",https://www.linkedin.com/in/dr-sonny-hatcher-4a85a9212,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn activity explicitly identifies current Virginia APEX Procurement Counselor role."
RFX-PER-000009,RFX-ORG-0017,Shawn Avery,"President & CEO",President/CEO,https://www.linkedin.com/in/shawn-avery-3698b78,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads Workforce Council President & CEO; current 2026 organizational references verified."
RFX-PER-000010,RFX-ORG-0017,Kaneesha Scott,"Business Services Specialist (Southside)","Business Services; Employer Services",https://www.linkedin.com/in/kaneesha-scott-9a392b122,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states current Business Services Specialist (Southside) role."
RFX-PER-000011,RFX-ORG-0019,Blair Durham,"Co-Founder and President",President/CEO,https://www.linkedin.com/in/blair-durham-15528a17a,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Black BRAND Co-Founder and President; public LinkedIn and 2026 activity verified."
RFX-PER-000012,RFX-ORG-0020,"Floyd E Miller, M.Ed.","President & CEO",President/CEO,https://www.linkedin.com/in/floyd-e-miller-m-ed-2a17298,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Metropolitan Business League President & CEO; 2026 references and profile verified."
RFX-PER-000013,RFX-ORG-0021,Jane Ferrara,Executive Director,"Community Development; Partnerships",https://www.linkedin.com/in/janeferrara,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current LISC Virginia Executive Director; public LinkedIn and current external references verified."
RFX-PER-000014,RFX-ORG-0022,Paul Nolde,"President & CEO","Executive Director; Partnerships; Venture/Capital Programs",https://www.linkedin.com/in/paul-nolde-8143546,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current 757 Collab executive leadership; public LinkedIn profile verified."
RFX-PER-000015,RFX-ORG-0022,Sabrina Hammell,"Director, 757 Startup Studios",Program Director,https://www.linkedin.com/in/sabrina-hammell-52029b109,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states Director of 757 Startup Studios."
RFX-PER-000016,RFX-ORG-0024,David White,Executive Director,President/Executive Director,https://www.linkedin.com/in/david-white-28190211,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia Maritime Association Executive Director; current 2026 references verified."
RFX-PER-000017,RFX-ORG-0025,John Polowczyk,President,President/Executive Director,https://www.linkedin.com/in/johnpolowczyk,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia Ship Repair Association President; transition completed after joining in 2025 and 2026 activity confirms role."
RFX-PER-000018,RFX-ORG-0026,Nancy Grden,"President & CEO",President/CEO,https://www.linkedin.com/in/nancy-grden-6780356,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads Executive Roundtable President & CEO; public LinkedIn and 2026 activity verified."
RFX-PER-000019,RFX-ORG-0032,Brian Donahue,"Director of Economic Development",Economic Development Director,https://www.linkedin.com/in/briancdonahue,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Portsmouth Economic Development Director; current 2026 organization content confirms title."
RFX-PER-000020,RFX-ORG-0034,Kristi Olsen-Hayes,"Director, Department of Economic & Tourism Development",Economic Development Director,https://www.linkedin.com/in/kristi-olsen-hayes-148bb225,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current York County department director; current public LinkedIn and organizational references verified."
RFX-PER-000021,RFX-ORG-0037,"Terry Banez, IOM",CEO,President/CEO,https://www.linkedin.com/in/terry-banez,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Greater Williamsburg Chamber CEO; public LinkedIn and current chamber activity verified."
RFX-PER-000022,RFX-ORG-0041,Austin Bussey,Business Development Manager,Business Development Manager,https://www.linkedin.com/in/austin-bussey,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states current Business Development Manager at Chesapeake Economic Development."
RFX-PER-000023,RFX-ORG-0041,Sherry Barnette,Economic Development Manager,"Business Development Manager; BRE Manager",https://www.linkedin.com/in/sherrylbarnette,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About states Economic Development Manager and current Chesapeake Economic Development affiliation."
RFX-PER-000024,RFX-ORG-0044,Sean M. Washington,Director of Economic Development,Economic Development Director,https://www.linkedin.com/in/sean-m-washington-5a9a3550,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current City of Norfolk Economic Development Director; public LinkedIn profile and current references verified."
RFX-PER-000025,RFX-ORG-0047,Emily Archer,Acting Director,Economic Development Director,https://www.linkedin.com/in/emily-archer-a263972b,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current 2026 Virginia Beach Economic Development Acting Director; public LinkedIn and current organization references verified."
RFX-PER-000026,RFX-ORG-0047,Natalie Guilmeus,Deputy Director,"Economic Development Director; Business Development",https://www.linkedin.com/in/nguilmeus,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia Beach Economic Development Deputy Director; public LinkedIn and current 2026 references verified."
RFX-PER-000027,RFX-ORG-0057,Cody Lichvar,Government Contracting Officer,Contracting Officer,https://www.linkedin.com/in/cody-lichvar-77ba51117,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states Government Contracting Officer at NASA Langley Research Center."
RFX-PER-000028,RFX-ORG-0058,Jessie Tenbush,Senior Procurement Officer,"Procurement Director; Purchasing; Contracting Officer",https://www.linkedin.com/in/jessie-tenbush-2bb57b15,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states Senior Procurement Officer at Jefferson Lab."
RFX-PER-000029,RFX-ORG-0059,Shannon Morris,"Manager, Supply Chain Procurement - Defense Industry","Strategic Sourcing; Procurement; Subcontracts",https://www.linkedin.com/in/shannon-morris-a3aa9614,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Public LinkedIn About explicitly states Manager Supply Chain Procurement - Defense Industry; current Newport News Shipbuilding affiliation verified."
